DISTRICTCODE,CHILDREN,FEMALE,ELDERLY,FHEAD,FAMILYSIZE,NOELECTRIC,LOWEDU,GROWTH,POVERTY,ILLITERATE,NOTRAINING,DPRONE,RENTED,NOSEWER,TAPWATER,POPULATION,PROVINCE,Sustainability_Index
1811,0.08359918903,0.47725606579999996,0.04436546016,0.08834788208000001,3.538011591,1.788781e-05,0.43602651969999995,0.0059020439800000005,0.0766,0.07075154203,0.9888022324000001,0.9721844591,0.00261161992,0.01436390956,0.0,198092,Lampung,0.7009997131785001
3518,0.07356314819,0.5029076758,0.08466613735999999,0.1751215519,3.501749344,0.0,0.4001395845,0.00350988943,0.1198,0.0728944777,0.9928555914,0.9849827071,0.01719937846,0.08486742076,0.04040032748,1048799,Jawa Timur,0.701184956166
3203,0.09368021795,0.4856063844,0.05420497012,0.14816781810000001,3.481780076,0.00178162029,0.4958683562,0.00289837929,0.11410000000000001,0.03681423116,0.9960430737999999,0.9372959203000001,0.04413601451,0.17171484809999998,0.07971438496,2256589,Jawa Barat,0.7014541648299999
8102,0.1217385168,0.5094366254,0.055137718270000004,0.20520843849999998,5.005955385,0.1651357626,0.23936512480000002,0.00256154742,0.23870000000000002,0.046135479210000004,0.9917230241,0.962955486,0.01135560715,0.2606742707,0.24512970630000003,99284,Maluku,0.7015636981385
3522,0.06752738793,0.5059184307,0.08086698534,0.1518243812,3.572223771,0.0,0.4139909219,0.0027176578699999996,0.1434,0.10486444519999999,0.9914794199000001,0.9205789971,0.01415881902,0.1318778899,0.11271017670000001,1243906,Jawa Timur,0.7016937302749999
3506,0.07824679176,0.49819030490000005,0.08051460099,0.2037465993,3.541885245,0.00153969833,0.3639990085,0.00497002813,0.1225,0.07231689664,1.0,0.9806379529,0.02694017886,0.1020697361,0.02102664723,1561392,Jawa Timur,0.701700004009
1101,0.07999956086,0.4877590901,0.021847005089999996,0.1311146752,4.058094984,0.01425643767,0.2565208668,0.01249634166,0.20199999999999999,0.05019033186,0.9271585138,0.4881047848,0.04882829903,0.22890492739999999,0.05595651787000001,91372,Aceh,0.7017333362410001
3208,0.08369030107,0.4971775407,0.08107738161,0.1530687395,3.570620845,0.0,0.47187841329999997,0.00620124742,0.13269999999999998,0.04553402697,0.9958422881,0.9285054331000001,0.028732400020000003,0.06195392372,0.1002303145,1068201,Jawa Barat,0.7026241968595
5203,0.10371882769999999,0.5344182525,0.04708279418,0.3166485341,3.328286273,0.00111895917,0.387478842,0.00811843725,0.18280000000000002,0.16055212740000002,0.9952535838,0.9871474714999999,0.00479996843,0.22755458099999998,0.2002063169,1183204,Nusa Tenggara Barat,0.702772826136
1508,0.08936252449,0.4851062459,0.03589844196,0.1084852525,3.925595991,0.038069840689999995,0.4190709777,0.017930013499999998,0.0679,0.06296784566000001,0.9973447665,0.9379640911,0.02414998046,0.18913078460000002,0.015345180350000001,343003,Jambi,0.702779244428
7311,0.08828478326000001,0.522044863,0.07025316793,0.2207390731,4.118251702,0.03624533275,0.44918632529999997,0.0061844075,0.10279999999999999,0.1274786085,0.9985943333999999,0.9599989017999999,0.01800461234,0.1867175489,0.13792005270000002,751026,Sulawesi Selatan,0.70299520392
1812,0.08403254986,0.4866956528,0.053075932310000004,0.08300849041,3.586185721,0.00134832061,0.4040203168,0.00707720826,0.08109999999999999,0.07833455254999999,0.9983179366999999,0.9982511881,0.012348480799999999,0.01609974903,0.0,269162,Lampung,0.7030471054755001
7410,0.12033380149999999,0.4759811617,0.02450632075,0.08864931676,4.155393806,0.02032548239,0.2640871525,0.020275321829999998,0.1393,0.07574249056,0.9934079517000001,0.8821671359,0.01702945822,0.24184577350000003,0.0,60884,Sulawesi Tenggara,0.703170457063
7309,0.09513937440999999,0.5152810287,0.050807064469999996,0.20053115689999998,4.261821479,0.00592045602,0.3988944444,0.00983730609,0.16219999999999998,0.12622282240000002,0.9858401347,0.881966576,0.02068920845,0.22597486719999998,0.1600336831,329791,Sulawesi Selatan,0.7033950553959999
7301,0.09203522474999999,0.518373871,0.07516926278,0.19472786809999998,3.589650599,0.020217055940000003,0.42067016549999997,0.010143566710000001,0.1328,0.1454906292,0.9977265961,0.9892013316,0.02446615605,0.382013045,0.16179057619999998,133003,Sulawesi Selatan,0.703550584847
6105,0.09783106849999999,0.48331363439999997,0.03686591482,0.09479107907999999,3.839388097,0.1254620002,0.42837668460000006,0.01501630641,0.0452,0.09897986714,1.0,0.926930298,0.0123929717,0.2760046137,0.1068978001,457701,Kalimantan Barat,0.703623677219
8202,0.1033141375,0.4879485908,0.02856489074,0.08195038494000001,4.486056459,0.1180496151,0.27083237050000003,0.0362076345,0.14150000000000001,0.07547209935,0.9455089820000001,0.8881094953,0.02343883661,0.41633875109999996,0.11060735669999999,52813,Maluku Utara,0.7041158778425
3505,0.07345071405999999,0.49909739379999996,0.0953249252,0.1931609426,3.432251053,0.00331978622,0.39730466389999997,0.0030118716499999997,0.098,0.08732975627,0.9838774508,0.9467315736999999,0.011954207789999999,0.1096601313,0.03446622899,1153803,Jawa Timur,0.7041341255285
3315,0.0776710208,0.5053871083,0.07688629465,0.1499454893,3.38620419,0.00242131953,0.44434556989999996,0.0048919644299999995,0.13269999999999998,0.08692170804,0.9971639519,0.9560288373,0.01415043969,0.07453194031,0.12371080259999999,1365207,Jawa Tengah,0.7047578049230001
1609,0.08984396842,0.48934527180000004,0.050930522500000006,0.08753502603999999,3.791837857,0.004142957829999999,0.398358264,0.010814775649999999,0.11,0.05786910587000001,0.9956335631000001,0.9442219204,0.01122552475,0.08138075672999999,0.03565350432,663481,Sumatera Selatan,0.7048680038175
3523,0.06913901017,0.5061088766,0.07111866302,0.1641055729,3.608270625,0.00488936075,0.4282610875,0.00447960643,0.16870000000000002,0.11322753179999999,0.9950609695999999,0.9690806139,0.01385784533,0.1919237073,0.19174365470000002,1163614,Jawa Timur,0.705537565895
1905,0.0968746419,0.4823454385,0.029943252309999998,0.05008615288,3.930000783,0.00569783835,0.5042342472,0.023479433969999998,0.0392,0.07940133172000001,1.0,0.9918154762,0.03784852757,0.20852913529999997,0.03046679198,201782,Bangka Belitung,0.705648453888
